Date,Price,Open,High,Low,Vol.,Change %
2025-06-18 00:00:00,597.44,598.44,601.22,596.48,75940686,0.00%
2025-06-18 00:00:00,597.44,598.44,601.22,596.47,76605000,-0.02%
2025-06-17 00:00:00,597.53,600.21,601.75,596.76,82209400,-0.85%
2025-06-16 00:00:00,602.68,600.4,604.45,600.22,79984100,0.95%
2025-06-13 00:00:00,597.0,598.5,601.85,595.48,89506000,-1.12%
2025-06-12 00:00:00,603.75,600.01,603.75,599.52,64129000,0.4%
2025-06-11 00:00:00,601.36,604.19,605.06,599.27,73658200,-0.29%
2025-06-10 00:00:00,603.08,600.22,603.47,599.09,66247000,0.57%
2025-06-09 00:00:00,599.68,599.72,601.25,598.49,53016400,0.09%
2025-06-06 00:00:00,599.14,598.66,600.83,596.86,66588700,1.03%
2025-06-05 00:00:00,593.05,597.63,599.0,591.05,92278700,-0.48%
2025-06-04 00:00:00,595.93,596.96,597.95,595.49,57314200,-0.03%
2025-06-03 00:00:00,596.09,592.34,597.08,591.85,63606200,0.57%
2025-06-02 00:00:00,592.71,587.76,592.79,585.06,61630500,0.56%
2025-05-30 00:00:00,589.39,588.93,591.13,583.24,90601200,-0.11%
2025-05-29 00:00:00,590.05,593.06,593.2,586.07,69973300,0.39%
2025-05-28 00:00:00,587.73,591.56,592.77,586.99,68445500,-0.58%
2025-05-27 00:00:00,591.15,586.07,591.31,578.43,72588500,2.08%
2025-05-23 00:00:00,579.11,575.98,581.81,575.6,76029000,-0.68%
2025-05-22 00:00:00,583.09,582.66,586.62,581.41,70860400,0.04%
2025-05-21 00:00:00,582.86,588.44,592.58,581.82,95197700,-1.69%
2025-05-20 00:00:00,592.85,593.09,594.05,589.6,60614500,-0.34%
2025-05-19 00:00:00,594.85,588.1,595.54,588.1,68168500,0.11%
2025-05-16 00:00:00,594.2,591.25,594.5,589.28,76052100,0.63%
2025-05-15 00:00:00,590.46,585.56,590.97,585.1,71268100,0.49%
2025-05-14 00:00:00,587.59,587.81,588.98,585.54,66283500,0.13%
2025-05-13 00:00:00,586.84,583.41,589.08,582.84,67947200,0.66%
2025-05-12 00:00:00,582.99,581.47,583.0,577.04,78993600,3.3%
2025-05-09 00:00:00,564.34,566.48,567.5,562.76,37603400,-0.13%
2025-05-08 00:00:00,565.06,565.24,570.31,561.7,65130800,0.7%
2025-05-07 00:00:00,561.15,560.15,563.82,556.04,55588000,0.42%
2025-05-06 00:00:00,558.8,557.93,563.35,556.96,48264700,0.00%
2025-05-05 00:00:00,563.51,562.57,566.65,561.7,38.66M,-0.57%
2025-05-02 00:00:00,566.76,564.73,568.38,562.38,60.72M,1.48%
2025-05-01 00:00:00,558.47,560.37,564.07,557.86,63.19M,0.71%
2025-04-30 00:00:00,554.54,547.57,556.52,541.52,93.10M,0.04%
2025-04-29 00:00:00,554.32,548.91,555.45,548.55,47.78M,0.63%
2025-04-28 00:00:00,550.85,551.39,553.55,545.02,47.61M,0.04%
2025-04-25 00:00:00,550.64,546.65,551.05,543.69,61.12M,0.72%
2025-04-24 00:00:00,546.69,536.72,547.43,535.45,64.15M,2.10%
2025-04-23 00:00:00,535.42,540.43,545.43,533.88,90.59M,1.55%
2025-04-22 00:00:00,527.25,520.14,529.3,519.19,75.95M,2.60%
2025-04-21 00:00:00,513.88,521.16,521.7,508.46,69.37M,-2.38%
2025-04-17 00:00:00,526.41,527.64,531.16,523.91,79.87M,0.14%
2025-04-16 00:00:00,525.66,531.68,537.89,520.29,83.48M,-2.22%
2025-04-15 00:00:00,537.61,539.67,543.23,536.81,56.89M,-0.28%
2025-04-14 00:00:00,539.12,544.05,544.28,533.86,68.03M,0.97%
2025-04-11 00:00:00,533.94,523.01,536.43,520.07,97.87M,1.78%
2025-04-10 00:00:00,524.58,532.17,533.49,509.32,162.33M,-4.38%
2025-04-09 00:00:00,548.62,493.44,548.62,493.05,241.87M,10.50%
2025-04-08 00:00:00,496.48,521.86,524.98,489.16,165.82M,-1.57%
2025-04-07 00:00:00,504.38,489.19,523.17,481.8,256.61M,-0.18%
2025-04-04 00:00:00,505.28,523.67,525.87,505.06,217.97M,-5.85%
2025-04-03 00:00:00,536.7,545.11,547.97,536.7,125.99M,-4.93%
2025-04-02 00:00:00,564.52,555.05,567.42,554.81,76.01M,0.63%
2025-04-01 00:00:00,560.97,557.45,562.94,553.68,54.61M,0.28%
2025-03-31 00:00:00,559.39,549.83,560.71,546.87,95.33M,0.67%
2025-03-28 00:00:00,555.66,565.53,566.27,555.07,71.66M,-2.01%
2025-03-27 00:00:00,567.08,567.18,570.9,564.94,42.16M,-0.27%
2025-03-26 00:00:00,568.59,575.19,576.33,567.19,52.23M,-1.19%
2025-03-25 00:00:00,575.46,575.3,576.41,573.69,38.36M,0.24%
2025-03-24 00:00:00,574.08,570.8,575.15,570.2,58.77M,1.79%
2025-03-21 00:00:00,563.98,559.28,564.89,558.03,83.76M,-0.27%
2025-03-20 00:00:00,565.49,563.33,570.57,562.6,62.96M,-0.29%
2025-03-19 00:00:00,567.13,562.83,570.95,561.63,66.56M,1.09%
2025-03-18 00:00:00,561.02,564.8,565.02,559.06,66.04M,-1.08%
2025-03-17 00:00:00,567.15,562.79,569.71,562.35,49.01M,0.77%
2025-03-14 00:00:00,562.81,556.11,563.83,551.49,62.66M,2.07%
2025-03-13 00:00:00,551.42,558.49,559.1,549.68,74.08M,-1.33%
2025-03-12 00:00:00,558.87,562.17,563.11,553.69,69.59M,0.53%
2025-03-11 00:00:00,555.92,559.4,564.02,552.02,88.10M,-0.83%
2025-03-10 00:00:00,560.58,567.59,569.54,555.59,99.33M,-2.66%
2025-03-07 00:00:00,575.92,570.9,577.39,565.63,81.16M,0.56%
2025-03-06 00:00:00,572.71,575.48,580.17,570.12,80.09M,-1.78%
2025-03-05 00:00:00,583.06,576.69,584.88,573.08,71.23M,1.07%
2025-03-04 00:00:00,576.86,579.71,585.39,572.25,109.65M,-1.18%
2025-03-03 00:00:00,583.77,596.18,597.34,579.9,74.25M,-1.75%
2025-02-28 00:00:00,594.18,585.56,594.72,582.44,88.74M,1.56%
2025-02-27 00:00:00,585.05,596.85,598.02,584.65,74.20M,-1.60%
2025-02-26 00:00:00,594.54,595.93,599.58,591.86,43.32M,0.05%
2025-02-25 00:00:00,594.24,597.15,597.89,589.56,58.27M,-0.50%
2025-02-24 00:00:00,597.21,602.02,603.03,596.49,50.74M,-0.46%
2025-02-21 00:00:00,599.94,610.16,610.3,599.47,76.52M,-1.71%
2025-02-20 00:00:00,610.38,611.54,611.68,607.02,36.55M,-0.42%
2025-02-19 00:00:00,612.93,610.08,613.23,609.56,31.01M,0.24%
2025-02-18 00:00:00,611.49,610.88,611.49,608.38,26.75M,0.29%
2025-02-14 00:00:00,609.7,609.94,610.99,609.07,26.91M,0.00%
2025-02-13 00:00:00,609.73,604.48,609.94,603.2,40.92M,1.06%
2025-02-12 00:00:00,603.36,599.2,604.55,598.51,45.08M,-0.32%
2025-02-11 00:00:00,605.31,602.55,605.86,602.43,30.06M,0.08%
2025-02-10 00:00:00,604.85,604.03,605.5,602.74,26.05M,0.68%
2025-02-07 00:00:00,600.77,606.89,608.13,600.05,50.79M,-0.92%
2025-02-06 00:00:00,606.32,605.99,606.45,602.63,35.77M,0.35%
2025-02-05 00:00:00,604.22,600.64,604.37,598.58,30.65M,0.41%
2025-02-04 00:00:00,601.78,597.83,602.3,597.28,33.46M,0.67%
2025-02-03 00:00:00,597.77,592.67,600.29,590.49,65.86M,-0.67%
2025-01-31 00:00:00,601.82,607.5,609.96,601.05,66.67M,-0.53%
2025-01-30 00:00:00,605.04,603.96,606.6,600.72,39.28M,0.54%
2025-01-29 00:00:00,601.81,603.72,604.13,599.22,37.18M,-0.45%
2025-01-28 00:00:00,604.52,600.62,605.37,597.25,44.43M,0.86%
2025-01-27 00:00:00,599.37,594.81,599.69,594.64,70.36M,-1.41%
2025-01-24 00:00:00,607.97,609.81,610.78,606.8,34.60M,-0.29%
2025-01-23 00:00:00,609.75,605.8,609.75,605.52,41.15M,0.55%
2025-01-22 00:00:00,606.44,605.92,607.82,605.36,48.20M,0.56%
2025-01-21 00:00:00,603.05,600.67,603.06,598.67,42.53M,0.92%
2025-01-17 00:00:00,597.58,596.96,599.36,595.61,58.07M,1.00%
2025-01-16 00:00:00,591.64,594.17,594.35,590.93,43.32M,-0.19%
2025-01-15 00:00:00,592.78,590.33,593.94,589.2,56.90M,1.82%
2025-01-14 00:00:00,582.19,584.36,585.0,578.35,48.42M,0.14%
2025-01-13 00:00:00,581.39,575.77,581.75,575.35,47.91M,0.16%
2025-01-10 00:00:00,580.49,585.88,585.95,578.55,73.11M,-1.53%
2025-01-08 00:00:00,589.49,588.7,590.58,585.2,47.30M,0.15%
2025-01-07 00:00:00,588.63,597.42,597.75,586.78,60.39M,-1.13%
2025-01-06 00:00:00,595.36,596.27,599.7,593.6,47.68M,0.58%
2025-01-03 00:00:00,591.95,587.53,592.6,586.43,37.89M,1.25%
2025-01-02 00:00:00,584.64,589.39,591.13,580.5,50.20M,-0.25%
2024-12-31 00:00:00,586.08,589.91,590.64,584.42,57.05M,-0.36%
2024-12-30 00:00:00,588.22,587.89,591.74,584.41,56.58M,-1.14%
2024-12-27 00:00:00,595.01,597.54,597.78,590.76,64.97M,-1.05%
2024-12-26 00:00:00,601.34,599.5,602.48,598.08,41.34M,0.01%
2024-12-24 00:00:00,601.3,596.06,601.34,595.47,33.16M,1.11%
2024-12-23 00:00:00,594.69,590.89,595.3,587.66,57.64M,0.60%
2024-12-20 00:00:00,591.15,581.77,595.75,580.91,125.72M,0.86%
2024-12-19 00:00:00,586.1,591.36,593.0,585.85,85.92M,-0.03%
2024-12-18 00:00:00,586.28,603.98,606.41,585.89,108.25M,-2.98%
2024-12-17 00:00:00,604.29,604.19,605.17,602.89,55.77M,-0.41%
2024-12-16 00:00:00,606.79,606.0,607.78,605.21,43.70M,0.43%
2024-12-13 00:00:00,604.21,606.4,607.13,602.81,35.90M,-0.02%
2024-12-12 00:00:00,604.33,606.58,607.16,604.33,31.54M,-0.52%
2024-12-11 00:00:00,607.46,605.78,608.43,605.5,28.68M,0.77%
2024-12-10 00:00:00,602.8,605.37,605.8,602.13,37.23M,-0.31%
